mean,std,f3,f4,f5,f6
-2.1316282072803006e-17,0.9990901422953836,0,0,0,0
-1.6579330501069006e-17,0.9994445314264597,0,0,0,0
-1.4210854715202004e-17,0.9994304898183495,0,0,0,0
5.3290705182007515e-18,0.999511527004995,0,0,0,0
-1.4210854715202004e-17,0.9996023954562654,0,0,0,0
2.3684757858670005e-18,0.9996813366992108,0,0,0,0
2.3684757858670008e-17,0.9996391949731341,0,0,0,0
9.473903143468002e-18,0.999439915564215,0,0,0,0
-1.7763568394002505e-17,0.9994760568695331,0,0,0,0
1.3026616822268503e-17,0.99954269899548,0,0,0,0
5.921189464667502e-18,0.9995189381440179,0,0,0,0
2.7237471537470506e-17,0.9995800350565247,0,0,0,0
-1.1842378929335004e-17,0.9994279255069813,0,0,0,0
-9.473903143468002e-18,0.9994817923364233,0,0,0,0
-8.289665250534503e-18,0.9993045078422784,0,0,0,0
-1.0658141036401503e-17,0.9992460044615996,0,0,0,0
9.473903143468002e-18,0.9993179672700155,0,0,0,0
2.2500519965736505e-17,0.99946830841967,0,0,0,0
-5.3290705182007515e-18,0.999593466817688,0,0,0,0
1.3026616822268503e-17,0.9995728751738635,0,0,0,0
1.8947806286936004e-17,0.9995090914188313,0,0,0,0
-2.1316282072803006e-17,0.9994362334313678,0,0,0,0
-5.921189464667502e-18,0.9995725988041299,0,0,0,0
9.473903143468002e-18,0.9993819204144138,0,0,0,0
2.4868995751603507e-17,0.9992304794682862,0,0,0,0
-3.552713678800501e-18,0.9995565019086624,0,0,0,0
1.6579330501069006e-17,0.9993581842602712,0,0,0,0
1.8947806286936004e-17,0.9996611789424423,0,0,0,0
4.736951571734001e-18,0.9995780415182823,0,0,0,0
-1.4506914188435377e-17,0.9995355994310571,0,0,0,0
2.960594732333751e-18,0.9993024966324668,0,0,0,0
2.0132044179869507e-17,0.9993140634188431,0,0,0,0
2.4868995751603507e-17,0.9992215780175984,0,0,0,0
-1.1250259982868253e-17,0.9993302132211709,0,0,0,0
-5.921189464667502e-18,0.9993911765802876,0,0,0,0
2.3684757858670008e-17,0.9990745314290093,0,0,0,0
5.921189464667502e-18,0.9991952810690061,0,0,0,0
1.7763568394002505e-17,0.9993338089456397,0,0,0,0
-1.1842378929335004e-17,0.9994754758851601,0,0,0,0
2.1316282072803006e-17,0.9992135765827433,0,0,0,0
-2.1316282072803006e-17,0.9996724631103837,0,0,0,0
-7.697546304067752e-18,0.9997164934066252,0,0,0,0
-1.1842378929335004e-17,0.9997085262181749,0,0,0,0
1.7763568394002505e-17,0.9996844969303781,0,0,0,0
4.736951571734001e-18,0.9997317794265873,0,0,0,0
6.5133084111342516e-18,0.9997231183697619,0,0,0,0
1.1842378929335004e-17,0.9997293352951074,0,0,0,0
7.105427357601002e-18,0.9996159425255867,0,0,0,0
1.1842378929335003e-18,0.9995149186640636,0,0,0,0
-1.7171449447535755e-17,0.9996374771919354,0,0,0,0
7.105427357601002e-18,0.9996230761986055,0,0,0,0
2.3684757858670005e-18,0.9997021090220346,0,0,0,0
5.921189464667502e-18,0.9996751486037138,0,0,0,0
3.552713678800501e-18,0.9997471448423272,0,0,0,0
0.0,0.9996769432505586,0,0,0,0
-1.1842378929335004e-17,0.9997426334776136,0,0,0,0
6.5133084111342516e-18,0.9997296480004775,0,0,0,0
2.6053233644537006e-17,0.9996053960640287,0,0,0,0
1.6579330501069006e-17,0.9995889808426833,0,0,0,0
1.5987211554602253e-17,0.9996098239952492,0,0,0,0
-1.5395092608135503e-17,0.9996779441917615,0,0,0,0
1.9539925233402754e-17,0.9996636253770159,0,0,0,0
-2.3684757858670005e-18,0.9996630665034671,0,0,0,0
1.0658141036401503e-17,0.9996955377950179,0,0,0,0
-9.473903143468002e-18,0.9996136010168173,0,0,0,0
-2.3684757858670008e-17,0.99961681974835,0,0,0,0
-1.5395092608135503e-17,0.9996056545927924,0,0,0,0
-2.3684757858670005e-18,0.9996006113853917,0,0,0,0
-5.921189464667502e-18,0.9995729811131113,0,0,0,0
2.0132044179869507e-17,0.9997736769009917,0,0,0,0
-2.3684757858670005e-18,0.9997286455642745,0,0,0,0
-4.736951571734001e-18,0.9997091830126682,0,0,0,0
-4.736951571734001e-18,0.9997268700726102,0,0,0,0
-7.105427357601002e-18,0.9997444887933525,0,0,0,0
5.921189464667502e-18,0.9996637772517014,0,0,0,0
1.1842378929335003e-18,0.999694441449219,0,0,0,0
-1.7763568394002505e-18,0.9996806298916648,0,0,0,0
-8.289665250534503e-18,0.9996909829939014,0,0,0,0
2.3684757858670005e-18,0.999709423005164,0,0,0,0
-1.7763568394002505e-17,0.99973242647111,0,0,0,0
1.0658141036401503e-17,0.9997827710746093,0,0,0,0
5.921189464667502e-18,0.9996756735790504,0,0,0,0
-1.1842378929335003e-18,0.9997000845112683,0,0,0,0
1.7763568394002505e-17,0.9997183730335416,0,0,0,0
1.1842378929335004e-17,0.9996574144159618,0,0,0,0
-2.842170943040401e-17,0.9996088373507042,0,0,0,0
-2.2500519965736505e-17,0.9995141046434943,0,0,0,0
-4.736951571734001e-18,0.9994861007519703,0,0,0,0
-1.1842378929335003e-18,0.9990106231479311,0,0,0,0
1.1842378929335004e-17,0.9989910097194525,0,0,0,0
2.960594732333751e-17,0.9991347104175803,0,0,0,0
-2.4868995751603507e-17,0.9993294754912541,0,0,0,0
9.473903143468002e-18,0.9992137819445953,0,0,0,0
1.8947806286936004e-17,0.9989986589041744,0,0,0,0
3.375077994860476e-17,0.999062195462503,0,0,0,0
2.3092638912203255e-17,0.9990730973164802,0,0,0,0
